ID	ORG	Strand	intron_start	Intron_end	Chromosome	gene_start	gene_end
S000003266_C	YGR034W	1	555831	556307	chrVII	555812	556672
S000003350_C	YGR118W	1	727039	727357	chrVII	726974	727730
S000003415_C	YGR183C	-1	859261	859473	chrVII	859063	859476
S000003446_C	YGR214W	1	920665	921119	chrVII	920575	921788
S000000993_C	YHL001W	1	104406	104803	chrVIII	104277	105091
S000003529_C	YHR001W-A	1	107832	107894	chrVIII	107826	108122
S000001052_C	YHR010W	1	126552	127112	chrVIII	126521	127492
S000001054_C	YHR012W	1	129529	129647	chrVIII	129481	130448
S000001063_C	YHR021C	-1	148117	148666	chrVIII	147871	148669
S000001183_C	YHR141C	-1	382307	382747	chrVIII	381990	382751
S000001246_C	YHR203C	-1	505248	505516	chrVIII	504476	505530
S000001280_C	YIL018W	1	316772	317171	chrIX	316768	317932
S000001314_C	YIL052C	-1	256555	257026	chrIX	256226	257063
S000001331_C	YIL069C	-1	231958	232366	chrIX	231553	232369
S000001373_C	YIL111W	1	155223	155310	chrIX	155222	155765
S000001395_C	YIL133C	-1	99096	99385	chrIX	98527	99416
S000001410_C	YIL148W	1	68716	69149	chrIX	68708	69528
S000003538_C	YJL001W	1	435228	435343	chrX	435163	435926
S000003672_C	YJL136C	-1	156790	157249	chrX	156550	157273
S000003713_C	YJL177W	1	91095	91411	chrX	90786	91657
S000003725_C	YJL189W	1	75939	76324	chrX	75933	76474
S000003855_C	YJR094W-A	1	608307	608581	chrX	608305	608858
S000003906_C	YJR145C	-1	702799	703054	chrX	702027	703068
S000001489_C	YKL006W	1	432035	432432	chrXI	431906	432720
S000001639_C	YKL156W	1	158616	158966	chrXI	158613	159212
S000001663_C	YKL180W	1	109578	109883	chrXI	109269	110129
S000001673_C	YKL190W	1	82999	83074	chrXI	82947	83550
S000001765_C	YKR057W	1	551681	552002	chrXI	551657	552242
S000001802_C	YKR094C	-1	618375	618742	chrXI	617996	618750
S000003973_C	YLL050C	-1	40222	40400	chrXII	39804	40414
S000004038_C	YLR048W	1	242322	242680	chrXII	242232	243349
S000004051_C	YLR061W	1	263206	263594	chrXII	263194	263948
S000004175_C	YLR185W	1	522670	523028	chrXII	522663	523288
S000004278_C	YLR287C-A	-1	712726	713155	chrXII	712537	713158
S000004336_C	YLR344W	1	819331	819777	chrXII	819312	820142
S000004398_C	YLR406C	-1	931350	931698	chrXII	931065	931755
S000004440_C	YLR448W	1	1028869	1029252	chrXII	1028854	1029768
S000004486_C	YML024W	1	225892	226289	chrXIII	225889	226697
S000004488_C	YML026C	-1	223381	223781	chrXIII	222987	223828
S000004500_C	YML036W	1	206098	206203	chrXIII	205642	206293
S000004538_C	YML073C	-1	123743	124157	chrXIII	123227	124172
S000004550_C	YML085C	-1	99260	99375	chrXIII	97941	99400
S000004684_C	YMR079W	1	424998	425153	chrXIII	424989	426059
S000004750_C	YMR142C	-1	550802	551203	chrXIII	550206	551207
S000004751_C	YMR143W	1	551952	552495	chrXIII	551928	552903
S000004807_C	YMR194W	1	651161	651623	chrXIII	651145	651910
S000004843_C	YMR230W	1	732466	732875	chrXIII	732414	733141
S000004855_C	YMR242C	-1	753743	754219	chrXIII	753225	754220
S000004906_C	YMR292W	1	854817	854898	chrXIII	854795	855293
S000004949_C	YNL004W	1	622945	623286	chrXIV	622915	624621
S000004983_C	YNL038W	1	557611	557684	chrXIV	557020	557783
S000005013_C	YNL069C	-1	494525	494973	chrXIV	493956	495001
S000005040_C	YNL096C	-1	443827	444171	chrXIV	443398	444315
S000005074_C	YNL130C	-1	380690	380781	chrXIV	379558	380831
S000005106_C	YNL162W	1	331326	331837	chrXIV	331322	332154
S000005245_C	YNL301C	-1	64019	64450	chrXIV	63570	64562
S000005246_C	YNL302C	-1	62373	62923	chrXIV	61958	62943
S000005408_C	YOL048C	-1	240948	241025	chrXV	240204	241310
S000005480_C	YOL120C	-1	93844	94290	chrXV	93395	94402
S000005481_C	YOL121C	-1	92441	92830	chrXV	92026	92850
S000005487_C	YOL127W	1	80361	80774	chrXV	80348	81190
S000005622_C	YOR096W	1	505938	506338	chrXV	505794	506767
S000005648_C	YOR122C	-1	552666	552874	chrXV	552298	552887
S000005708_C	YOR182C	-1	678380	678790	chrXV	678191	678793
S000005760_C	YOR234C	-1	778860	779386	chrXV	778555	779405
S000005819_C	YOR293W	1	867150	867586	chrXV	867098	867852
S000005839_C	YOR312C	-1	900768	901193	chrXV	900250	901194
S000005952_C	YPL031C	-1	492919	493020	chrXVI	492018	493037
S000006000_C	YPL079W	1	406647	407067	chrXVI	406636	407539
S000006011_C	YPL090C	-1	377996	378389	chrXVI	377291	378395
S000006064_C	YPL143W	1	282141	282665	chrXVI	282122	282970
S000006139_C	YPL218W	1	138726	138864	chrXVI	138698	139409
S000006438_C	YPL249C-A	-1	75986	76223	chrXVI	75699	76239
S000006232_C	YPR028W	1	623578	623710	chrXVI	623527	624202
S000006247_C	YPR043W	1	654168	654570	chrXVI	654166	654847
S000006336_C	YPR132W	1	795030	795394	chrXVI	794965	795767
S000006391_C	YPR187W	1	911277	911352	chrXVI	911257	911800
